buffer_size,on_time_delivery_rate,total_delay,late_orders,percentage_late_orders,avg_delay_late_orders,bundling_rate,avg_distance_per_order,active_period_idle_rate,on_time_delivery_rate_std,total_delay_std,late_orders_std,percentage_late_orders_std,avg_delay_late_orders_std,bundling_rate_std,avg_distance_per_order_std,active_period_idle_rate_std
0,66.43498036221078,564.0588881050094,44.58,33.56501963778923,11.493440718464276,2.7542202507656266,105.91223147466509,0.3681344394272558,10.125146807900808,370.38228736868575,15.213927829459427,10.125146807900808,4.345677251402933,1.8844530580966157,10.483398223892623,0.05424866677852122
1,63.60773537402909,650.342332979435,47.59,36.39226462597091,12.629348023758128,3.1387228869449855,106.19123721503958,0.38568323635467777,9.993829097141614,421.78838335226624,14.264708198908242,9.993829097141614,4.690360322050775,2.3063908407363742,11.87416983353877,0.050803371934707395
2,65.86471451025973,578.3299059302542,45.46,34.135285489740255,11.642290038631975,2.5923149637131133,104.69790342967354,0.3727144659350281,10.048752434394014,411.4325599720041,15.13698781131834,10.048752434394013,4.315865397065909,2.046853023124058,11.357311875868866,0.05813549219040121
3,64.31022645625676,658.7998237607035,47.48,35.68977354374324,12.628254079152319,2.813614506645922,105.66721333986884,0.37758699347523544,10.941658150471236,429.2486291281395,16.40516991682805,10.941658150471234,4.905619039985412,2.180524980716077,9.74685296114324,0.059730986632444805
4,65.1410633688517,624.7389241086931,46.65,34.85893663114828,12.330107993800347,2.668322510169121,105.437515374181,0.3691677231504136,10.03550821428547,396.4778907530659,15.337128153601638,10.03550821428547,4.414839702074416,2.1256809824244542,9.258913001502147,0.06247743611022334
5,66.71338100731785,570.2379683761468,44.31,33.28661899268214,11.683757836630619,2.208521939945216,104.481688417611,0.3757886803500202,9.193993716304078,410.7213153969636,14.312019424246182,9.193993716304078,4.5745088091795925,1.9018459498831708,8.965823427549351,0.05410694276576512
6,65.18834765815772,603.2357303867096,46.34,34.81165234184228,12.04594451273364,2.6605122023068253,106.07250714213434,0.3752768542500506,10.204555745192495,390.18618773242815,15.295241089959973,10.204555745192497,4.231190832591819,2.182303610121167,10.400905851880236,0.05127694781861596
7,64.80222227356462,628.2043981734711,46.91,35.19777772643536,12.282059453414936,2.62414403339041,103.60787263591307,0.37286060308508906,10.013477394575972,380.6227914317524,15.137433732307468,10.013477394575974,4.335455440152778,1.9387628218632438,9.689671216005014,0.06291016466443371
8,65.21610431956708,630.1460032405645,46.12,34.78389568043291,12.49608519657416,2.4054252810818477,105.7588317123569,0.37662038126247227,10.29726670574845,431.82970938510124,15.223192831991584,10.29726670574845,4.879839578404304,1.9532658982699374,10.23118186136693,0.05399862216274827
9,64.46099159183885,663.3823677581192,47.71,35.53900840816117,12.636930274586115,2.6104244619847146,105.84228558135506,0.3675209271588169,10.774881040945338,433.4378716938345,16.896919837650884,10.774881040945338,4.934743488521082,2.158279098728217,9.621358402338592,0.06056397477106895
10,63.644395352344155,667.3528820661297,48.73,36.35560464765584,12.781756221664336,2.6504082175012416,105.35558912153418,0.36611773096951444,9.629412094425646,365.61995342633986,14.522985230316802,9.629412094425646,4.036454605295501,2.1450367571362263,9.703044673341802,0.05443948325873058
11,65.47048229285554,590.5391282177378,45.46,34.52951770714447,12.054200010432616,2.1289311885737883,106.53444056450812,0.3838486221368762,8.700367436987035,346.8411654763345,13.05712066268823,8.700367436987037,4.223430284594323,1.798935524734618,10.701910201919542,0.053111526134106225
12,64.36852869308822,648.2235028036881,47.53,35.63147130691178,12.716423747768467,2.5750309405467515,107.7420401094553,0.36482982466215647,9.693421276735801,394.80346410804,14.483407748178605,9.6934212767358,4.451500510747789,2.166586454526538,11.459697156975936,0.055151499382603525
13,64.26958972793875,643.3501696998014,47.47,35.73041027206124,12.499890217760765,2.155326929297697,106.95653425314369,0.3646838545731283,9.572919457988792,416.00549307056366,14.357196801604413,9.572919457988792,4.699604378994691,1.9228712173370737,9.85733408543256,0.055047113239802554
14,64.64879392102311,659.8189264236291,46.87,35.35120607897689,12.722847192580536,2.266714273470237,106.05492606909561,0.37226352669372653,10.159856729834251,513.8996971427135,15.92209471143794,10.159856729834251,5.250701122758207,1.8352329110005796,10.832138024967348,0.06277016684253897
15,65.67560921182081,573.3857950944508,45.01,34.32439078817919,11.658661453436713,1.9607980160676126,105.37017725206994,0.38516562972884183,10.065871871524578,376.7296103648985,15.372374572589624,10.065871871524577,3.9683155609681044,1.723390906544301,10.046671172766093,0.05898797378522061
16,63.74863401513756,678.5288318382792,48.12,36.251365984862424,13.020621233516554,2.314767264375155,106.59413399009236,0.38009479871430424,9.783978146645138,427.58644701447315,15.289395017462269,9.783978146645138,4.809723952608485,1.9291329064837313,10.259759110910037,0.06175238937630162
17,66.71982552132451,561.874378153487,43.93,33.2801744786755,11.76958948393158,1.895835121899823,104.1236726901754,0.3854748012770336,9.705870851123581,346.3508978521113,14.602229281859671,9.70587085112358,3.993232487336888,1.8121624517683126,8.844641102525964,0.055564901414743614
18,63.82559474697807,642.2010096295039,47.97,36.174405253021924,12.565371829330727,2.2559957973099585,106.92785774670284,0.3697878101839595,9.5149465690647,355.88824318183447,14.489620422909637,9.514946569064701,4.004528153909667,1.9317634945373476,10.892035998138287,0.05904223550356341
19,65.57343590012553,578.7765996722648,45.24,34.42656409987447,11.7134359004704,1.9420871850140038,105.15545951554154,0.37877960879987976,10.349585757295545,380.2162236372885,15.097761423469375,10.349585757295545,4.266272591615563,1.8417885672256529,9.90226302202051,0.052821559624646235
20,63.285248416377435,647.0257259700053,48.38,36.714751583622565,12.352192976940476,2.052306548164671,106.75651021953053,0.37337055798319346,9.570481844200218,397.4952702430979,14.067537097871824,9.570481844200218,4.688102738394542,1.9722927089151738,9.899934550605128,0.049988938034139695
21,65.51718033118985,610.7454390417016,45.58,34.48281966881015,12.035578396391788,1.9361250867659974,104.35746457355546,0.3849584130551318,10.334983263179106,438.38503592274986,15.604601885341388,10.334983263179106,4.879354390948327,2.0912649400798604,10.121054746427582,0.054684699991885986
22,63.537880081644424,653.8465526189871,48.39,36.46211991835557,12.672729438963806,2.0124570059030855,106.19797135618052,0.3640768461808939,8.646470800800751,364.254041977599,13.11860892015613,8.646470800800751,4.301710864169881,1.8330764300780156,10.596113143868253,0.06199298047766152
23,65.78072577703513,634.0987421071541,45.61,34.21927422296488,12.623162818901289,1.9288621511783084,107.56936363190063,0.37609423100571676,10.384412326916374,430.06558980124424,15.586465282417306,10.384412326916374,4.851332422454233,1.955038784093833,9.219147265610271,0.05769449443088602
24,63.77871729925004,641.6092547030441,48.33,36.22128270074995,12.46673264079455,1.8078807142459867,106.74625560755462,0.37156016430094463,8.675290257401317,356.6689821468655,13.126351359003003,8.675290257401317,4.355712351702899,1.7310922947799599,11.636461518392831,0.05151883233706458
25,65.95523528204033,581.8756487380435,45.52,34.04476471795966,11.749281759518114,1.7745273737923868,106.50247977346078,0.3670581119345217,9.706358174628283,376.88508757930947,14.245336078871567,9.706358174628283,4.325706591353256,1.7462441073422912,11.050407435778181,0.04593293339017758
