courier_id,mean,std,coefficient_of_variation,count
0,6.814629190973206,4.694815946600724,0.6889319748783355,33
1,7.290559980422617,4.059421034276008,0.5568051075880035,34
2,6.020831016763463,3.5254934612468385,0.5855493122844677,305
3,5.95580288137449,3.65983404113919,0.6144988533090214,169
4,6.181054212698784,3.3404851979438175,0.5404393948011157,512
5,5.256156993350873,3.8692751727343335,0.7361414770580543,380
6,10.33891668510383,5.252641497571047,0.5080456354909002,241
7,9.165220225972398,4.309021652340868,0.4701492758602749,226
8,5.262450743974391,3.507319014960408,0.6664801602136337,53
9,6.943851370090099,4.150687039085292,0.597749983094963,222
10,6.5956213156834655,4.492250612011401,0.6810958963531544,155
11,8.270920250323243,5.1782317447505815,0.626076855782548,283
12,8.16935685405554,5.0893624134262065,0.6229820173542399,769
13,6.121033794982511,4.255988276253614,0.6953054694359475,599
14,5.532666335278273,2.8014666614309114,0.5063501920525645,176
15,5.245973901043825,3.1771832486262426,0.6056422141166311,378
16,4.791394561034708,3.012391894138958,0.6287087936019253,167
17,6.262861368878272,4.145929827448224,0.6619865239314395,409
18,5.836444351122654,3.1314678135769958,0.5365369093212806,300
19,5.360165147687573,2.9907966167608393,0.5579672518207948,633
20,5.441927427390063,2.892595094640011,0.5315387118323431,454
21,6.927212572276986,4.440363546496697,0.6410029286912936,578
22,8.619726626255177,4.300822438043296,0.49895114132079843,59
23,6.8561236712115825,4.261065375093464,0.6214977412069448,146
24,6.978626288289965,3.673800299383598,0.526436027323627,217
25,5.238853340380503,2.9283843912170147,0.5589743023812771,338
26,5.456204879802859,3.1528799653916844,0.5778521948584898,430
27,6.977235422113056,4.1786246986324835,0.5988940383735808,420
28,6.609286393904719,3.8022250289712005,0.5752852580995319,328
29,5.508988093644814,2.977779588025877,0.5405311351936034,538
30,7.285207207397208,4.453211091231621,0.6112675953416874,671
31,6.741352241704407,3.8965836377047522,0.5780121699618509,480
32,6.693028825995503,5.48426744544088,0.819399944034331,507
33,5.7266398571348835,3.570306054782485,0.6234556640285667,336
34,5.823674227674668,3.6608717677124756,0.6286189138663794,241
35,5.372878815170042,3.151957933954362,0.5866422903593087,343
36,5.136316369503699,3.0224735747489015,0.5884515978599953,412
37,5.80991547594622,3.412891674973157,0.5874253574088912,655
38,5.953542073826925,4.703390660270736,0.7900155238589598,357
39,6.240157597623146,3.569337072658591,0.5719946999444596,162
40,5.891163640096654,4.273068995866147,0.7253353084240656,249
41,5.606912161195371,2.926411078723438,0.5219291821578205,818
42,5.950882756506171,3.853591929190418,0.6475664345726254,270
43,5.069947859680774,3.616870873498881,0.713394096665644,292
44,7.7605926835441466,5.170072217062553,0.6661955378775862,151
45,5.748776069654667,3.199014288284134,0.5564687595278521,136
46,5.851330431581568,3.1615927325821755,0.540320320233158,604
47,4.956534568424703,2.9195776038188885,0.5890360620942456,409
48,5.606763175166437,3.42928206218691,0.6116331214729989,472
49,6.47545836809705,3.9250636362006213,0.6061445249248176,514
50,6.463709059563713,3.727328936926443,0.5766548126746952,359
51,5.763546229974779,3.065211875965148,0.5318274120928776,514
52,5.300014915817041,3.3806223476527233,0.6378514780333543,610
53,5.993750982172666,2.9358529814630554,0.48981897816496245,268
54,5.303162525619948,2.641314109309128,0.49806395646913615,441
55,6.52579912075838,4.14070342172929,0.6345128535381714,104
56,6.141909689673436,3.883191330129416,0.6322449411228456,231
57,6.425397724230931,3.5536382257648693,0.5530612077698601,306
58,6.0735429940132315,4.07815715583043,0.6714626306013346,540
59,6.294822573341638,3.7162605045550428,0.5903677921429082,199
60,6.054298408120294,3.23959265521553,0.5350896894792044,332
61,6.589321938714911,3.397958886783611,0.5156765625335801,254
62,5.642145630185854,3.5054537228444227,0.6212979870795983,578
63,6.722268741834403,3.8990487195545542,0.5800197625676244,93
64,5.57095195356502,3.451008356243739,0.6194647494734423,480
65,7.498277125941714,4.86216578860735,0.6484377286864691,690
66,5.987457310962835,4.266728892236536,0.7126111587341587,183
67,9.522324550542281,4.597059489382062,0.48276652039971335,79
68,5.1917593343696415,3.041159293964611,0.5857666155347422,261
69,6.587819911261905,3.682399985593334,0.5589709547612642,388
70,5.416309827931194,2.6682318011552324,0.49262909359348567,439
71,6.415405977720593,3.800109808107408,0.5923412830465321,433
72,6.3945392860665775,3.8971665943186693,0.6094522873306019,510
73,6.457579816128451,5.120156192233268,0.7928908876116663,300
74,6.808926383125606,3.639770803424969,0.5345586952511813,235
75,6.3303816121370895,3.2890875335111085,0.5195717628152179,494
76,7.377884724295067,3.6567504936484636,0.49563670757919764,144
77,5.6039701515223115,3.412261406425072,0.6089007104183336,483
